Simulation number	Chl-a (ug/l)	TSM (mg/l)	a400 (1/m)	a_tot_443 (1/m)	a_ph_443 (1/m)	a_cdom_443 (1/m)	a_tsm_443 (1/m)	a_w_443 (1/m)	b_tot_443 (1/m)	b_tsm_443 (1/m)	b_w_443 (1/m)	S3400	S3412.5	S3442.5	S3490	S3510	S3560	S3620	S3665	S3673.75	S3681.25	S3708.75	S3753.75
3594	17.58	3.76	12.3	6.8587	0.36795	6.1817	0.30201	0.007046	3.5783	3.5745	0.0037518	0.000166781	0.000194696	0.000286616	0.000558704	0.000738209	0.001483923	0.002100872	0.00194311	0.001832132	0.001828015	0.001574658	0.000523661
3595	11.7	3.49	17.22	9.2111	0.2693	8.6544	0.28032	0.007046	3.3216	3.3179	0.0037518	0.000113509	0.00013307	0.000197909	0.000389172	0.000515401	0.001042137	0.001685236	0.001751847	0.001700346	0.001710455	0.001415827	0.000482349
3596	32.54	7.11	14.27	8.3398	0.58989	7.1718	0.57108	0.007046	6.7631	6.7593	0.0037518	0.000255922	0.000298638	0.00043878	0.000856425	0.001135003	0.002321179	0.003372378	0.003148772	0.002916442	0.00291598	0.002956871	0.001004743
3597	4.95	2.44	9.84	5.2877	0.13928	4.9454	0.19598	0.007046	2.3234	2.3197	0.0037518	0.000143056	0.000167243	0.000247341	0.00048268	0.000635394	0.001253507	0.001695909	0.001557719	0.001506056	0.001487202	0.001054194	0.000339787
3598	6.53	1.45	15.07	7.8696	0.17223	7.5739	0.11647	0.007046	1.3822	1.3785	0.0037518	6.07E-05	7.05E-05	0.000103304	0.00019901	0.000261296	0.000515037	0.000790267	0.000799698	0.000781383	0.000780275	0.000593752	0.000200835
3599	8.66	1.58	7.61	4.1724	0.21383	3.8246	0.12691	0.007046	1.5058	1.5021	0.0037518	0.000125944	0.000145851	0.000211193	0.000402812	0.00052601	0.001012443	0.001188467	0.000995171	0.000941603	0.000926998	0.000685593	0.00022089
3600	6.9	1.63	8	4.3383	0.17966	4.0206	0.13092	0.007046	1.5534	1.5496	0.0037518	0.000123582	0.00014343	0.000208767	0.000400144	0.000523173	0.001010277	0.001222986	0.001045939	0.000996638	0.000980867	0.000707701	0.000227728
3601	6.97	1.43	7.73	4.1879	0.18105	3.8849	0.11486	0.007046	1.3632	1.3595	0.0037518	0.00011474	0.000132891	0.000192549	0.000367053	0.000478891	0.000919079	0.001090111	0.000922313	0.000877503	0.000862897	0.000621952	0.000200111
3602	9.3	1.45	7.77	4.2544	0.22585	3.905	0.11647	0.007046	1.3822	1.3785	0.0037518	0.000114956	0.000132931	0.000191879	0.000364629	0.000475681	0.000913906	0.001075387	0.000901054	0.00085141	0.000838706	0.000627314	0.000202839
3603	25	4.88	22.14	12.008	0.48195	11.127	0.39197	0.007046	4.6431	4.6393	0.0037518	0.000119951	0.000140647	0.000209096	0.000411552	0.000546058	0.00111565	0.001875697	0.001997512	0.001911664	0.001933819	0.001887091	0.000673774
3604	6.8	1.45	11.07	5.8647	0.17766	5.5636	0.11647	0.007046	1.3822	1.3785	0.0037518	8.20E-05	9.52E-05	0.000138842	0.000266418	0.00034896	0.000680773	0.000935246	0.000867827	0.000836473	0.000828739	0.00061326	0.000201944
3605	6.42	1.55	8.04	4.3423	0.17	4.0407	0.1245	0.007046	1.4773	1.4735	0.0037518	0.000118103	0.000137042	0.000199388	0.00038183	0.000498966	0.000962067	0.001167314	0.001001253	0.000955629	0.000940115	0.000673245	0.000216635
3606	1.45	1.1	4.92	2.6224	0.054342	2.4727	0.088353	0.007046	1.0495	1.0457	0.0037518	0.000146584	0.000169713	0.000245865	0.000465864	0.000601096	0.001105396	0.001078796	0.000851086	0.000817401	0.000789633	0.000496981	0.000155231
3607	14.45	3.37	14.76	8.0124	0.3166	7.4181	0.27068	0.007046	3.2075	3.2038	0.0037518	0.000127346	0.000148963	0.000220409	0.000431316	0.000570372	0.001148536	0.001746237	0.001714458	0.001640567	0.00164353	0.00138498	0.000467061
3608	17.2	4.13	9.84	5.646	0.36184	4.9454	0.33173	0.007046	3.93	3.9263	0.0037518	0.000223969	0.000261013	0.000382654	0.00074376	0.000981778	0.00196572	0.002577219	0.002261462	0.002115898	0.002102369	0.001775977	0.000578196
3609	2.57	1.47	6.56	3.5063	0.08427	3.2969	0.11807	0.007046	1.4012	1.3975	0.0037518	0.000138917	0.000161488	0.000235994	0.000453011	0.000590113	0.001121719	0.001264986	0.001058236	0.001018765	0.000992642	0.000652003	0.000206045
3610	23.15	3.95	14.76	8.1968	0.45437	7.4181	0.31727	0.007046	3.7589	3.7552	0.0037518	0.000145927	0.000170386	0.000250876	0.000489132	0.000646743	0.001306623	0.001933045	0.001841498	0.001731375	0.001733296	0.001606373	0.00054853
3611	83.9	36.02	17.22	12.774	1.2192	8.6544	2.8932	0.007046	34.247	34.243	0.0037518	0.000897532	0.001040247	0.001504499	0.002895975	0.003821316	0.007716949	0.011303112	0.011162224	0.010202174	0.010167839	0.014104754	0.005757982
3612	4.36	0.8	6.94	3.6856	0.12637	3.4879	0.064257	0.007046	0.76429	0.76054	0.0037518	8.21E-05	9.43E-05	0.000134201	0.000249714	0.000322367	0.000600789	0.000671465	0.000556437	0.000531879	0.000519838	0.000355367	0.000113468
3613	2.9	1.39	4.92	2.6838	0.092446	2.4727	0.11165	0.007046	1.3252	1.3214	0.0037518	0.000174962	0.000202797	0.000294334	0.000560707	0.000726499	0.001350996	0.001326035	0.001039156	0.000991698	0.000962178	0.000625061	0.000195397
3614	5.3	0.85	7.38	3.9311	0.14677	3.709	0.068273	0.007046	0.81183	0.80808	0.0037518	8.06E-05	9.26E-05	0.000132063	0.000246373	0.000318674	0.000597866	0.000685537	0.000573809	0.000547664	0.000536612	0.000374744	0.000120262
3615	7.6	0.92	6.15	3.3653	0.19347	3.0909	0.073895	0.007046	0.87837	0.87462	0.0037518	0.000101331	0.000116196	0.000164726	0.000306037	0.00039527	0.000736212	0.000772552	0.000614402	0.00057914	0.000567103	0.000407103	0.000130081
3616	10.4	1.16	6.15	3.4371	0.24605	3.0909	0.093172	0.007046	1.1065	1.1028	0.0037518	0.000120068	0.000137882	0.000195954	0.000366137	0.000474496	0.000892798	0.000935037	0.000737874	0.000690261	0.00067752	0.000508254	0.000163153
3617	5.7	1	7.38	3.9516	0.15518	3.709	0.080321	0.007046	0.95443	0.95068	0.0037518	9.09E-05	0.00010471	0.000150142	0.000282229	0.00036608	0.000691428	0.000796745	0.00066732	0.000636268	0.000623932	0.000438863	0.000140881
3618	2.45	1.16	5.54	2.9658	0.081237	2.7843	0.093172	0.007046	1.1065	1.1028	0.0037518	0.0001356	0.000156961	0.000227259	0.000431114	0.000558138	0.001039298	0.001072627	0.000861563	0.000825843	0.000801689	0.000519786	0.000163378
3619	2.75	0.84	9.23	4.8021	0.088759	4.6388	0.06747	0.007046	0.80232	0.79857	0.0037518	6.46E-05	7.44E-05	0.000106974	0.000200987	0.000260639	0.000494414	0.000631072	0.000567566	0.000550943	0.000540335	0.00036661	0.000118604
3620	3.7	1.16	7.38	3.9207	0.11143	3.709	0.093172	0.007046	1.1065	1.1028	0.0037518	0.000102319	0.00011844	0.000171531	0.000325881	0.000423748	0.000804447	0.000941542	0.000800148	0.000768825	0.00075212	0.000510139	0.000162948
3621	3.5	0.95	7.38	3.8992	0.10678	3.709	0.076305	0.007046	0.90689	0.90314	0.0037518	8.79E-05	0.000101378	0.000145812	0.000274542	0.000355835	0.000670243	0.000778694	0.000660347	0.000634717	0.000620471	0.00041929	0.000134023
3622	4.15	1.22	9.23	4.8655	0.12167	4.6388	0.097992	0.007046	1.1636	1.1598	0.0037518	8.55E-05	9.92E-05	0.000144131	0.00027504	0.000358852	0.000690546	0.000888586	0.000796639	0.000769658	0.000757094	0.000527329	0.00017078
3623	25.6	2.91	17.22	9.386	0.4908	8.6544	0.23373	0.007046	2.7702	2.7665	0.0037518	9.55E-05	0.000111336	0.000163504	0.00031742	0.000418987	0.000842698	0.001285279	0.001258766	0.001186678	0.001190624	0.001140335	0.000401033
3624	12.5	1.51	17.22	9.0661	0.28331	8.6544	0.12128	0.007046	1.4393	1.4355	0.0037518	5.47E-05	6.36E-05	9.29E-05	0.000178615	0.000234687	0.000464738	0.000727226	0.000740932	0.000716498	0.000719273	0.000600676	0.000208361
3625	22.93	7.75	4.82	3.503	0.45106	2.4224	0.62249	0.007046	7.3715	7.3677	0.0037518	0.000724216	0.000832455	0.001182441	0.002242039	0.002936874	0.005702407	0.005866031	0.004538136	0.004130779	0.004074375	0.003591653	0.001115017
3626	1.75	0.88	3.69	1.995	0.062769	1.8545	0.070683	0.007046	0.84035	0.8366	0.0037518	0.000163561	0.000188211	0.000268895	0.00050072	0.000639447	0.00113356	0.00094697	0.000703677	0.000670616	0.000645583	0.000403392	0.000125053
3627	20.35	10.17	5.23	3.864	0.41162	2.6285	0.81687	0.007046	9.6721	9.6684	0.0037518	0.000854615	0.000986583	0.001415089	0.002703963	0.003547159	0.006878727	0.007593703	0.006144268	0.00565351	0.005592496	0.004823991	0.001484096
3628	5.12	0.95	7.76	4.1263	0.14293	3.9	0.076305	0.007046	0.90689	0.90314	0.0037518	8.34E-05	9.61E-05	0.000137755	0.000258785	0.000335617	0.000634305	0.000747556	0.00063517	0.000607695	0.00059602	0.000416497	0.000133934
3629	4.4	1.39	9.84	5.1913	0.12725	4.9454	0.11165	0.007046	1.3252	1.3214	0.0037518	8.92E-05	0.000103589	0.000151238	0.000290231	0.000379604	0.000735864	0.000975405	0.000889685	0.000860893	0.000848583	0.000596995	0.000194047
3630	5.1	1.09	12.3	6.4188	0.1425	6.1817	0.08755	0.007046	1.04	1.0362	0.0037518	5.90E-05	6.84E-05	9.91E-05	0.000188611	0.000246328	0.000477941	0.000681011	0.000653718	0.000635936	0.000630478	0.000458871	0.000152239
3631	1	1.63	8.61	4.5061	0.040874	4.3272	0.13092	0.007046	1.5534	1.5496	0.0037518	0.000116591	0.000136105	0.000200852	0.000389445	0.000509567	0.000986053	0.001267581	0.001150986	0.001126057	0.001099125	0.000712821	0.00022763
3632	6.35	1.92	8.92	4.8129	0.16857	4.483	0.15422	0.007046	1.8291	1.8253	0.0037518	0.00012774	0.000148732	0.00021801	0.000421204	0.000552467	0.001077831	0.001378225	0.001218024	0.001167211	0.00115108	0.000829456	0.000267675
3633	7.9	2.21	9.84	5.3292	0.1993	4.9454	0.17751	0.007046	2.1047	2.101	0.0037518	0.000130707	0.000152363	0.000223839	0.000433933	0.00057046	0.001122288	0.001490315	0.001342603	0.001284936	0.001271665	0.000946565	0.000307626
