Simulation number	Chl-a (ug/l)	TSM (mg/l)	a400 (1/m)	a_tot_443 (1/m)	a_ph_443 (1/m)	a_cdom_443 (1/m)	a_tsm_443 (1/m)	a_w_443 (1/m)	b_tot_443 (1/m)	b_tsm_443 (1/m)	b_w_443 (1/m)	S3400	S3412.5	S3442.5	S3490	S3510	S3560	S3620	S3665	S3673.75	S3681.25	S3708.75	S3753.75
1	18	1.39	3.69	2.3479	0.37467	1.8545	0.11165	0.007046	1.3252	1.3214	0.0037518	0.00021752	0.000246065	0.000337608	0.000613159	0.000787938	0.001446934	0.001185503	0.000840021	0.000764097	0.000747919	0.000611293	0.000195545
2	21	5	5.54	3.6146	0.42166	2.7843	0.40161	0.007046	4.7571	4.7534	0.0037518	0.000443738	0.000511603	0.000731596	0.001393592	0.001828157	0.003581726	0.003733121	0.002888508	0.002637874	0.002600397	0.002239329	0.000707293
3	16	2.88	4.06	2.6212	0.34232	2.0405	0.23132	0.007046	2.7417	2.7379	0.0037518	0.000366484	0.000420025	0.000592873	0.001112215	0.001446521	0.00274205	0.002455004	0.001792882	0.001640757	0.00160872	0.001284571	0.000404454
4	8.45	2.56	3.38	2.1212	0.20985	1.6987	0.20562	0.007046	2.4375	2.4337	0.0037518	0.000400152	0.000460903	0.000658103	0.001244579	0.001613651	0.00298953	0.00250908	0.00181501	0.001687236	0.001644463	0.001163824	0.000359736
5	7.5	2.44	4.92	2.8672	0.19152	2.4727	0.19598	0.007046	2.3234	2.3197	0.0037518	0.000274232	0.000317963	0.000461094	0.000883862	0.001153545	0.002196249	0.002181369	0.001686228	0.001583629	0.001548465	0.001094704	0.000342077
6	3.33	0.95	1.23	0.80431	0.10278	0.61817	0.076305	0.007046	0.90689	0.90314	0.0037518	0.000468966	0.000529564	0.000722768	0.001285051	0.00158162	0.002431189	0.001213424	0.000786384	0.00073488	0.000704685	0.000442953	0.000135176
7	2.86	0.8	2.34	1.3388	0.091466	1.176	0.064257	0.007046	0.76429	0.76054	0.0037518	0.000233667	0.000266457	0.000372549	0.000677698	0.000852782	0.001428225	0.000943736	0.000650568	0.00061257	0.000588771	0.000371265	0.000114212
8	2.97	0.97	2.46	1.4155	0.094152	1.2363	0.077911	0.007046	0.92591	0.92216	0.0037518	0.000255684	0.000292717	0.000412831	0.000759838	0.000961713	0.001638667	0.001121345	0.000779839	0.000734695	0.000706898	0.000447433	0.000137719
9	3.28	0.71	2.91	1.6282	0.10159	1.4625	0.057028	0.007046	0.67873	0.67498	0.0037518	0.000174802	0.000199122	0.000277945	0.000504669	0.000637962	0.001092658	0.000799785	0.000565267	0.000532685	0.000513355	0.000328839	0.00010169
10	3.15	0.57	2.63	1.4731	0.098494	1.3218	0.045783	0.007046	0.54564	0.54189	0.0037518	0.00016659	0.000188683	0.000259999	0.000464081	0.000581739	0.000971447	0.000668477	0.0004642	0.000436786	0.000420195	0.000267341	8.24E-05
11	2.76	0.71	3.11	1.7161	0.089004	1.563	0.057028	0.007046	0.67873	0.67498	0.0037518	0.000164635	0.000187917	0.000263554	0.000480618	0.000608575	0.001049248	0.000794329	0.000568467	0.000537417	0.000517611	0.000328628	0.000101665
12	3.47	0.81	2.46	1.4145	0.10608	1.2363	0.06506	0.007046	0.7738	0.77005	0.0037518	0.000223931	0.000255118	0.000355951	0.000647076	0.000816181	0.001379614	0.000935569	0.000647283	0.000608304	0.000585786	0.000374858	0.00011557
13	49	13.65	8	5.9313	0.80727	4.0206	1.0964	0.007046	12.98	12.977	0.0037518	0.000748394	0.000860094	0.00122062	0.002314592	0.003041932	0.006074849	0.007204646	0.005998407	0.005374446	0.005315844	0.006065275	0.002021228
14	13	4.71	2.77	2.0695	0.29195	1.3921	0.37831	0.007046	4.4814	4.4777	0.0037518	0.000770862	0.000881429	0.001237674	0.00231613	0.003000339	0.005538155	0.004539579	0.003232475	0.00296454	0.002898669	0.002194545	0.000668191
15	5.95	1.51	1.29	0.93704	0.16038	0.64833	0.12128	0.007046	1.4393	1.4355	0.0037518	0.000610816	0.000687785	0.00093324	0.001671267	0.002088345	0.003374186	0.001810691	0.001176178	0.001089484	0.00105106	0.000697018	0.000213106
16	11.08	3.06	2.37	1.7022	0.2583	1.1911	0.24578	0.007046	2.9128	2.9091	0.0037518	0.000621137	0.00070755	0.000985259	0.001826	0.002350701	0.004244236	0.003112709	0.002145262	0.001970066	0.00191955	0.001404789	0.00043114
17	13.51	3.33	2.26	1.711	0.30069	1.1358	0.26747	0.007046	3.1695	3.1658	0.0037518	0.000683246	0.000774331	0.001066248	0.001959559	0.002520335	0.004554186	0.003303725	0.002259877	0.002061947	0.002011683	0.001527431	0.000469651
18	8.63	3.76	2.29	1.6732	0.21326	1.1509	0.30201	0.007046	3.5783	3.5745	0.0037518	0.000763926	0.000874891	0.001232814	0.002307505	0.002971975	0.00533624	0.003988479	0.002780574	0.002571768	0.00250173	0.001754346	0.000531411
19	4.9	1.34	8	4.2735	0.1382	4.0206	0.10763	0.007046	1.2777	1.2739	0.0037518	0.000105772	0.000122631	0.000178174	0.000340197	0.000443729	0.000850807	0.001031435	0.000889234	0.000852864	0.000837334	0.000584084	0.000187627
20	2.6	1.34	1.54	0.97367	0.085023	0.77397	0.10763	0.007046	1.2777	1.2739	0.0037518	0.000498512	0.000570642	0.000803122	0.001476699	0.001846929	0.00298531	0.001674058	0.001113729	0.001046434	0.001003079	0.000621711	0.000189358
21	11.08	12.93	5.63	4.1334	0.2583	2.8295	1.0386	0.007046	12.296	12.292	0.0037518	0.000997734	0.001161409	0.001697831	0.003289461	0.00431838	0.008301351	0.010012981	0.008725664	0.008264879	0.008193626	0.006342407	0.001917772
22	114	41.25	3.38	6.5612	1.5422	1.6987	3.3132	0.007046	39.219	39.215	0.0037518	0.002593662	0.002849926	0.003674181	0.006256083	0.0078626	0.014091917	0.014997194	0.012612844	0.011079853	0.010819214	0.016535183	0.006805982
23	3.63	0.81	4.1	2.2425	0.10981	2.0606	0.06506	0.007046	0.7738	0.77005	0.0037518	0.000137996	0.000158051	0.000223459	0.000412327	0.000527375	0.00094361	0.000824094	0.000615738	0.000582961	0.0005645	0.000369284	0.000115304
24	62.89	30.05	13.18	10.022	0.9775	6.624	2.4136	0.007046	28.572	28.568	0.0037518	0.000963878	0.001115766	0.001609554	0.003088889	0.004069445	0.008132563	0.011471945	0.010995587	0.010077239	0.010059935	0.012652191	0.004751546
25	26.86	2.22	5.84	3.6296	0.50921	2.9351	0.17831	0.007046	2.1143	2.1105	0.0037518	0.00020739	0.00023696	0.000332186	0.000617786	0.000803392	0.001545951	0.001531458	0.001156951	0.001046539	0.001029954	0.000944765	0.000310401
26	22.7	25.27	17.22	11.139	0.4476	8.6544	2.0297	0.007046	24.027	24.024	0.0037518	0.000682648	0.00080098	0.001192678	0.002364064	0.003150132	0.006455055	0.01072715	0.011691617	0.011325212	0.011502982	0.011182649	0.003910802
27	17	37.18	12.3	9.5337	0.35861	6.1817	2.9863	0.007046	35.35	35.346	0.0037518	0.001241337	0.001451166	0.002141713	0.004165635	0.005479383	0.010629297	0.016599729	0.018048017	0.017691403	0.017962236	0.016705979	0.006027685
28	10.99	27.12	11.15	8.0458	0.25668	5.6038	2.1783	0.007046	25.786	25.782	0.0037518	0.001050192	0.001230792	0.001827586	0.003589428	0.004741512	0.009316344	0.014332391	0.015201284	0.014921096	0.015074283	0.012796071	0.0042695
29	14.5	25.74	7.23	6.0256	0.31745	3.6337	2.0675	0.007046	24.474	24.47	0.0037518	0.00139908	0.001627702	0.002374821	0.004552976	0.005943462	0.011229803	0.015370995	0.015008907	0.014448397	0.014503278	0.012468784	0.004053708
30	27.33	55.26	17.36	13.686	0.51602	8.7248	4.4385	0.007046	52.538	52.534	0.0037518	0.001288969	0.001506578	0.002222173	0.00431542	0.005676496	0.011043052	0.018206388	0.020945821	0.020624967	0.021086983	0.022015407	0.009166243
31	25.28	81.94	26.03	20.157	0.48608	13.082	6.5815	0.007046	77.902	77.898	0.0037518	0.001284539	0.00150577	0.002236148	0.004368267	0.005756522	0.011249511	0.019948118	0.025034588	0.025255375	0.026086416	0.027956575	0.013556574
32	10.6	7.55	7.38	4.5722	0.24967	3.709	0.60642	0.007046	7.1814	7.1776	0.0037518	0.000503524	0.000588409	0.000868035	0.001702729	0.002252687	0.00449273	0.005645183	0.004907844	0.004642865	0.004597309	0.003508885	0.001081749
33	69.33	52.68	14.15	12.403	1.0533	7.1115	4.2313	0.007046	50.085	50.082	0.0037518	0.001415804	0.001636775	0.002352992	0.004457905	0.005820036	0.011223211	0.016457357	0.016909857	0.015816614	0.015889634	0.020348161	0.008734274
34	11	3.02	4.92	2.9792	0.25686	2.4727	0.24257	0.007046	2.8748	2.871	0.0037518	0.000325803	0.000376959	0.000543729	0.001039626	0.001359067	0.002608222	0.002589979	0.001985194	0.001846166	0.001810662	0.001354253	0.000423917
35	11.53	59.18	23.35	16.762	0.2663	11.735	4.7534	0.007046	56.265	56.261	0.0037518	0.001088368	0.001279848	0.001915397	0.003786598	0.005017065	0.009966265	0.017962963	0.022662633	0.023079536	0.023807265	0.022923819	0.009776839
36	17.86	7.31	4.07	3.0121	0.37243	2.0455	0.58715	0.007046	6.9532	6.9494	0.0037518	0.000799839	0.000919532	0.001306804	0.002476243	0.003235505	0.006185293	0.006074017	0.004627841	0.004238547	0.004172252	0.003434977	0.001050421
37	21.35	6.02	8.82	5.3504	0.42704	4.4328	0.48353	0.007046	5.7268	5.7231	0.0037518	0.000345546	0.000401964	0.000586584	0.001138246	0.001503867	0.003023985	0.003818586	0.003265162	0.003022339	0.003000744	0.002651195	0.000852457
38	29.33	7.92	6.77	4.5904	0.54475	3.4025	0.63614	0.007046	7.5331	7.5294	0.0037518	0.000550027	0.000634596	0.000908724	0.001736415	0.002285187	0.004546623	0.005156931	0.004156205	0.003772731	0.00373213	0.003562292	0.001137022
39	15	4.65	4.43	2.9328	0.3258	2.2264	0.37349	0.007046	4.4244	4.4206	0.0037518	0.000512605	0.000591084	0.000845705	0.001610823	0.002107588	0.004057506	0.003935897	0.002971534	0.002733554	0.002685528	0.002122335	0.000657827
40	50.67	15.61	10.05	7.1401	0.8283	5.0509	1.2538	0.007046	14.844	14.84	0.0037518	0.000695902	0.000803735	0.001153361	0.002209231	0.002913937	0.005880728	0.007539307	0.006583199	0.005941738	0.005896664	0.006852878	0.002329365
41	59.28	5.42	6.36	4.573	0.93419	3.1964	0.43534	0.007046	5.1564	5.1527	0.0037518	0.000399824	0.000452965	0.000622427	0.001144697	0.001489599	0.002947177	0.00288883	0.002163416	0.001894448	0.001855295	0.002230693	0.000765997
42	35.55	11.73	15.77	9.5062	0.63126	7.9257	0.94217	0.007046	11.155	11.151	0.0037518	0.000368587	0.000430772	0.000635144	0.001246414	0.001656814	0.003420545	0.005208625	0.005064299	0.004711947	0.004728176	0.004980193	0.001699619
43	23.61	36.28	12.78	9.8054	0.46129	6.423	2.9141	0.007046	34.494	34.491	0.0037518	0.001176804	0.001373913	0.002021533	0.003929246	0.005175367	0.01011559	0.015659469	0.016711454	0.016190128	0.016418143	0.016117978	0.005861461
44	22.43	19.75	8.92	6.5199	0.44351	4.483	1.5863	0.007046	18.78	18.776	0.0037518	0.000959107	0.001116411	0.00163177	0.003167567	0.004178782	0.008238129	0.011326215	0.010685118	0.010077135	0.010097245	0.009337125	0.00302028
45	92.6	26.54	11.01	8.9871	1.3149	5.5334	2.1317	0.007046	25.235	25.231	0.0037518	0.000983603	0.001126522	0.00158595	0.002978261	0.003897877	0.007763893	0.009725744	0.008567905	0.007598619	0.007476895	0.010820612	0.004150674
46	55.58	10.54	12.76	8.1557	0.88917	6.4129	0.84658	0.007046	10.024	10.02	0.0037518	0.0003992	0.000462493	0.000668069	0.001285992	0.001699314	0.003478815	0.004625108	0.004070634	0.003662269	0.003631317	0.004365861	0.001521605
47	15.91	10.16	9.73	6.0541	0.34086	4.8901	0.81606	0.007046	9.6626	9.6589	0.0037518	0.000507909	0.000593886	0.000877176	0.001724573	0.002288813	0.00463575	0.006410483	0.005899768	0.005573649	0.005561798	0.004676907	0.001473178
48	68.27	24.75	8.06	7.0868	1.041	4.0508	1.9879	0.007046	23.533	23.529	0.0037518	0.001190305	0.001359968	0.001904997	0.003552668	0.004631636	0.009022817	0.01092478	0.009463229	0.008465781	0.008367327	0.010768854	0.003865354
49	16	4.76	7.38	4.4407	0.34232	3.709	0.38233	0.007046	4.529	4.5252	0.0037518	0.000332007	0.000385996	0.000562697	0.001089606	0.00143626	0.002853033	0.003386896	0.002807691	0.002610205	0.002581834	0.002114248	0.000670915
50	27	41.25	12.92	10.325	0.51125	6.4933	3.3132	0.007046	39.219	39.215	0.0037518	0.00128638	0.001499751	0.002199143	0.004249969	0.00558181	0.010814943	0.016712383	0.017944137	0.017374266	0.017632609	0.017882885	0.006740791
51	35	7.79	12.3	7.4383	0.62377	6.1817	0.6257	0.007046	7.4095	7.4058	0.0037518	0.000318217	0.00037036	0.00054084	0.001050558	0.001390805	0.002838126	0.003902671	0.00350478	0.003216538	0.003205536	0.003298675	0.001108253
52	89.92	25.65	11.5	9.1326	1.2857	5.7797	2.0602	0.007046	24.389	24.385	0.0037518	0.000926523	0.001063008	0.00150235	0.002832714	0.003713669	0.007430943	0.00943393	0.008355357	0.007423112	0.007311528	0.010476224	0.00399516
53	16.5	2.32	18.45	9.8165	0.35049	9.2726	0.18634	0.007046	2.2093	2.2056	0.0037518	7.36E-05	8.59E-05	0.000126469	0.000245922	0.000324532	0.000650595	0.001039178	0.001068661	0.001028239	0.001034925	0.000911126	0.000318967
54	18.14	6.57	7.12	4.49	0.37689	3.5784	0.52771	0.007046	6.2497	6.2459	0.0037518	0.000454381	0.000527912	0.000768252	0.00148816	0.001963778	0.003912164	0.004644665	0.003853955	0.003569363	0.003534144	0.002977082	0.000935782
55	3.3	2.27	2.46	1.5278	0.10207	1.2363	0.18233	0.007046	2.1618	2.158	0.0037518	0.000493585	0.000571026	0.000823506	0.001564126	0.002007699	0.00355222	0.002583231	0.001820597	0.001715246	0.001653855	0.001049291	0.000319377
56	97.16	6.91	12.42	8.1684	1.3643	6.242	0.55502	0.007046	6.5729	6.5692	0.0037518	0.000271353	0.00031064	0.000436383	0.000816483	0.001067546	0.002161237	0.002503507	0.002045531	0.001783564	0.00174114	0.002562504	0.000974695
57	62	12.78	19.68	11.891	0.96689	9.8908	1.0265	0.007046	12.153	12.15	0.0037518	0.000321743	0.000375185	0.000550036	0.001072827	0.001423498	0.002950385	0.004492228	0.004359506	0.003979153	0.003972417	0.005033763	0.001849808
58	62	39.51	9.84	9.0928	0.96689	4.9454	3.1735	0.007046	37.565	37.561	0.0037518	0.001480405	0.001702132	0.002416955	0.004527427	0.005888384	0.011247724	0.015200813	0.014561313	0.013419243	0.013406095	0.016610417	0.006448675
59	16	1.74	6.15	3.58	0.34232	3.0909	0.13976	0.007046	1.6579	1.6542	0.0037518	0.000164467	0.000189088	0.000269074	0.000505811	0.000658399	0.001258668	0.001311311	0.001021991	0.000943733	0.00092878	0.000753116	0.000243478
60	40	6.74	6.15	4.3303	0.691	3.0909	0.54136	0.007046	6.4113	6.4076	0.0037518	0.000510581	0.000583963	0.000819795	0.001538503	0.002014537	0.003989955	0.004157038	0.003197694	0.002850791	0.002807873	0.002940366	0.000961104
61	35.4	4.65	17.22	9.6642	0.62923	8.6544	0.37349	0.007046	4.4244	4.4206	0.0037518	0.000145068	0.000169251	0.000248664	0.000484036	0.000640191	0.001300711	0.001955322	0.001878309	0.001745678	0.00174831	0.001825216	0.000645302
62	28	10.23	9.84	6.2998	0.5257	4.9454	0.82169	0.007046	9.7292	9.7254	0.0037518	0.000499393	0.000580944	0.000847672	0.001648236	0.002182792	0.004426249	0.005868566	0.005194328	0.004792809	0.004774899	0.00458519	0.001482652
63	25.13	9.33	9.64	6.0852	0.48388	4.8449	0.7494	0.007046	8.8736	8.8698	0.0037518	0.000469957	0.000547094	0.000799649	0.00155691	0.002061998	0.004177903	0.005524458	0.004878994	0.004515714	0.004497613	0.004185018	0.001345553
64	21.15	1.98	12.3	6.7718	0.42397	6.1817	0.15904	0.007046	1.8861	1.8823	0.0037518	9.45E-05	0.000109598	0.00015895	0.000304334	0.000399517	0.000789197	0.00107331	0.000968254	0.000905796	0.0009021	0.000806703	0.000274474
65	5.6	1.32	5.69	3.1258	0.15309	2.8597	0.10602	0.007046	1.2586	1.2549	0.0037518	0.00014484	0.000167342	0.00024111	0.000456532	0.000592543	0.0011132	0.001154656	0.000917225	0.000869099	0.000848853	0.00058618	0.000185449
66	9.57	1.55	6.36	3.5588	0.23086	3.1964	0.1245	0.007046	1.4773	1.4735	0.0037518	0.000146831	0.000169545	0.000243829	0.000462043	0.0006017	0.00114646	0.001238285	0.000991689	0.000930994	0.000914336	0.000678485	0.000217101
67	20.45	2.67	5.23	3.2632	0.41317	2.6285	0.21446	0.007046	2.5421	2.5383	0.0037518	0.000271417	0.000311361	0.000440407	0.000827005	0.001077913	0.002073384	0.002024266	0.001523563	0.001389297	0.001366366	0.001164024	0.000374035
68	5.05	1.34	4.92	2.7288	0.14143	2.4727	0.10763	0.007046	1.2777	1.2739	0.0037518	0.000168647	0.000194763	0.000280282	0.000529978	0.000686382	0.001276608	0.001240586	0.000959742	0.000908063	0.000884388	0.0005998	0.00018843
69	5	2.91	4.92	2.8538	0.14036	2.4727	0.23373	0.007046	2.7702	2.7665	0.0037518	0.000321097	0.000374017	0.000548052	0.001061592	0.001388535	0.002654315	0.002694125	0.002117658	0.002006931	0.001957318	0.00132068	0.000408495
70	2.27	0.96	2.6	1.4675	0.076622	1.3067	0.077108	0.007046	0.9164	0.91265	0.0037518	0.000242224	0.000278018	0.000394465	0.000729612	0.000924405	0.001581987	0.00111132	0.000781302	0.000738887	0.000709912	0.000443033	0.000136311
71	3.9	1.1	3.69	2.0659	0.11601	1.8545	0.088353	0.007046	1.0495	1.0457	0.0037518	0.000190898	0.000219549	0.000313026	0.000584606	0.000750275	0.001348668	0.001133776	0.000834814	0.000788489	0.000763402	0.00049979	0.000155468
72	1.8	0.82	1.54	0.91102	0.064139	0.77397	0.065863	0.007046	0.78331	0.77955	0.0037518	0.000353708	0.000403113	0.000562096	0.001014548	0.0012536	0.001960257	0.001056173	0.000700277	0.000659843	0.000630431	0.000383935	0.000117118
73	6.5	1.39	4.31	2.4564	0.17162	2.1661	0.11165	0.007046	1.3252	1.3214	0.0037518	0.00019577	0.000225417	0.00032209	0.000605405	0.000782534	0.001444179	0.001313482	0.00098516	0.000924875	0.000900959	0.000623529	0.000195517
74	3.5	1.08	2.46	1.4369	0.10678	1.2363	0.086747	0.007046	1.0305	1.0267	0.0037518	0.000275697	0.000315732	0.000445511	0.000822185	0.001043157	0.001789989	0.001232672	0.000856507	0.000805292	0.000775936	0.000496715	0.000152963
75	2.2	1.63	1.54	0.98675	0.074804	0.77397	0.13092	0.007046	1.5534	1.5496	0.0037518	0.000580423	0.000667364	0.000948471	0.001762268	0.002209928	0.003595649	0.002048932	0.001370158	0.001290123	0.001235511	0.000757444	0.000229869
76	4.04	0.84	2.94	1.6713	0.1192	1.4776	0.06747	0.007046	0.80232	0.79857	0.0037518	0.000193751	0.000221089	0.000309695	0.000566208	0.000718769	0.001245606	0.000923625	0.000653309	0.000614121	0.000593054	0.000386186	0.000119633
77	3.15	1.1	3.38	1.8926	0.098494	1.6987	0.088353	0.007046	1.0495	1.0457	0.0037518	0.000208183	0.000239584	0.000342066	0.000639123	0.000818356	0.001456476	0.001174261	0.000855654	0.000809432	0.000781677	0.000502007	0.000155544
78	45	13.87	3.69	3.7319	0.75627	1.8545	1.1141	0.007046	13.19	13.186	0.0037518	0.001346969	0.001515139	0.002052936	0.003721707	0.004803334	0.009042282	0.008834701	0.006752965	0.005991501	0.005896067	0.006447665	0.002070055
79	30.04	31.56	12.84	9.5499	0.55481	6.4531	2.5349	0.007046	30.007	30.003	0.0037518	0.001044586	0.001218094	0.001787616	0.003477694	0.004591603	0.009086156	0.013789914	0.014230246	0.013580828	0.013724105	0.014057632	0.005026912
80	20.04	4.51	12.3	6.9578	0.40681	6.1817	0.36225	0.007046	4.2913	4.2876	0.0037518	0.000196071	0.000228909	0.000336932	0.000657402	0.00086947	0.001755669	0.002481581	0.002285349	0.002144864	0.002140776	0.001897343	0.000630297
81	15.74	6.01	12.13	6.9241	0.33805	6.0963	0.48273	0.007046	5.7173	5.7136	0.0037518	0.000258896	0.00030311	0.00044903	0.000882819	0.00117083	0.002380051	0.003455735	0.003256695	0.003086946	0.003084504	0.002603571	0.000847272
82	19.46	5.9	17.71	9.7794	0.39774	8.9007	0.47389	0.007046	5.6127	5.609	0.0037518	0.00017755	0.000208281	0.000309943	0.000611372	0.000811931	0.001661947	0.002689369	0.002761152	0.002640829	0.002661382	0.002417952	0.000824519
83	24.74	19.35	8.32	6.2208	0.4781	4.1815	1.5542	0.007046	18.399	18.396	0.0037518	0.000994438	0.001155077	0.001679987	0.003245239	0.004273996	0.008389616	0.011214172	0.010359654	0.009704847	0.009708164	0.009147275	0.002955654
84	36.72	17.89	8.36	6.2927	0.64712	4.2016	1.4369	0.007046	17.011	17.008	0.0037518	0.000917493	0.001060648	0.001525759	0.002923269	0.003847425	0.007610838	0.009742186	0.008630042	0.007912934	0.00788241	0.008235479	0.0027107
85	25.33	13.29	7.69	5.4262	0.48682	3.8648	1.0675	0.007046	12.638	12.634	0.0037518	0.000775404	0.000899427	0.001304077	0.002519221	0.003323876	0.006599911	0.008317494	0.007248984	0.006702712	0.006671584	0.006214773	0.001967463
86	8.6	6.51	9.84	5.688	0.2127	4.9454	0.52289	0.007046	6.1927	6.1889	0.0037518	0.000340955	0.000399936	0.000595197	0.001175954	0.001559894	0.003153733	0.004405247	0.004092021	0.003924938	0.003900507	0.002939199	0.000923855
87	26.75	16.27	7.07	5.3747	0.50761	3.5532	1.3068	0.007046	15.471	15.468	0.0037518	0.000979515	0.001133478	0.001634485	0.00313462	0.004119888	0.008054866	0.010054948	0.008814056	0.008154102	0.008121457	0.007703164	0.002450666
88	23	15.45	7.38	5.4092	0.45211	3.709	1.241	0.007046	14.692	14.688	0.0037518	0.000911856	0.001058076	0.001535435	0.0029636	0.003903487	0.007670906	0.009766249	0.008662205	0.008065721	0.008039323	0.007338595	0.002316332
89	13	3.6	7.38	4.2972	0.29195	3.709	0.28916	0.007046	3.4262	3.4224	0.0037518	0.000260633	0.000303158	0.000442576	0.000856447	0.00112705	0.002223445	0.002628917	0.002182753	0.002041878	0.002016709	0.001584755	0.000504644
90	51.53	18.22	8.61	6.6368	0.83906	4.3272	1.4635	0.007046	17.325	17.321	0.0037518	0.000897607	0.001032762	0.001469584	0.002789842	0.00366481	0.00727845	0.009022022	0.007797365	0.007028894	0.00696998	0.008129227	0.002761985
91	19	2.44	7.38	4.3026	0.39053	3.709	0.19598	0.007046	2.3234	2.3197	0.0037518	0.000183804	0.0002123	0.000305083	0.000580346	0.000759687	0.001481972	0.001674346	0.001350766	0.001246291	0.001230874	0.001044742	0.000340658
92	22.42	6.14	7.07	4.4968	0.44336	3.5532	0.49317	0.007046	5.8409	5.8372	0.0037518	0.000427953	0.000495741	0.000716499	0.001378951	0.001816963	0.003617731	0.00418861	0.003412156	0.003131023	0.003098392	0.002743173	0.00087218
93	57.72	12.51	9.53	6.7167	0.91527	4.7896	1.0048	0.007046	11.897	11.893	0.0037518	0.000596633	0.000686513	0.000976603	0.001856066	0.00244298	0.004939294	0.005992252	0.005022734	0.004475544	0.004420035	0.005361755	0.001835367
94	51.69	24.32	5.99	5.812	0.84105	3.0105	1.9534	0.007046	23.124	23.12	0.0037518	0.001465065	0.001669621	0.002325559	0.00429442	0.005564903	0.010545503	0.012400215	0.010652705	0.009624698	0.009542658	0.011088199	0.00380682
95	58.6	16.27	6.64	5.5769	0.92594	3.3371	1.3068	0.007046	15.471	15.468	0.0037518	0.000991036	0.001129197	0.001572338	0.002927287	0.003820851	0.007495015	0.008375663	0.006812861	0.006043714	0.005955957	0.007236391	0.002447819
96	58.77	14.06	6.95	5.5573	0.92804	3.4929	1.1293	0.007046	13.37	13.367	0.0037518	0.000848892	0.000968209	0.001350983	0.002522899	0.003299247	0.006530558	0.007251975	0.005839512	0.005167309	0.00508771	0.006186455	0.002088923
97	40.47	14.99	5.33	4.587	0.69722	2.6788	1.204	0.007046	14.254	14.251	0.0037518	0.001115661	0.001273274	0.001779819	0.003318874	0.004325383	0.008333487	0.00913349	0.007383661	0.006638268	0.006563244	0.006969057	0.002246322
98	9.45	2.94	3.87	2.4168	0.22863	1.945	0.23614	0.007046	2.7987	2.795	0.0037518	0.000396959	0.000458191	0.0006573	0.001250144	0.001627484	0.003064432	0.002751175	0.002032904	0.001889213	0.001845923	0.001334174	0.000413232
99	12.7	4.16	4.14	2.7086	0.28678	2.0807	0.33414	0.007046	3.9586	3.9548	0.0037518	0.000497295	0.000573718	0.000821882	0.001565868	0.002045848	0.003908473	0.00368105	0.002754347	0.002543222	0.002493825	0.001900957	0.000587363
100	12.26	5.62	4.23	2.8635	0.27914	2.1259	0.4514	0.007046	5.3466	5.3428	0.0037518	0.000631052	0.000729663	0.001050546	0.002012806	0.002634987	0.005049868	0.004962614	0.003793691	0.003514622	0.003450893	0.002619095	0.000799675
101	5.2	4.18	4.92	2.9601	0.14464	2.4727	0.33574	0.007046	3.9776	3.9738	0.0037518	0.000438144	0.000511334	0.000752311	0.001466513	0.0019243	0.003708932	0.003869024	0.003079834	0.002920815	0.002852716	0.00192974	0.00058988
102	21	5.93	3.69	2.7595	0.42166	1.8545	0.4763	0.007046	5.6413	5.6375	0.0037518	0.000721745	0.000824525	0.001155335	0.0021632	0.002818175	0.005369288	0.004902373	0.003599066	0.003263257	0.003206563	0.002732414	0.000845494
103	11.28	4.76	3.81	2.5661	0.26187	1.9148	0.38233	0.007046	4.529	4.5252	0.0037518	0.0006012	0.000694088	0.000995913	0.001900715	0.002481826	0.00471003	0.004376646	0.003270424	0.003028315	0.002966515	0.002206877	0.000674531
104	9.67	4.41	3.51	2.358	0.23271	1.7641	0.35422	0.007046	4.1962	4.1925	0.0037518	0.000607858	0.000701904	0.001007611	0.001922196	0.002505187	0.004710734	0.004224342	0.003123276	0.002899716	0.002834569	0.002048096	0.000624125
105	12.58	3.65	2.95	2.0675	0.2847	1.4826	0.29317	0.007046	3.4737	3.47	0.0037518	0.000594773	0.000680579	0.000957211	0.001792562	0.002323099	0.004304557	0.003495661	0.002479339	0.002275785	0.002223821	0.001674648	0.000514998
106	8.72	2.53	2.95	1.9078	0.21497	1.4826	0.20321	0.007046	2.409	2.4052	0.0037518	0.000446235	0.00051234	0.000726225	0.001364286	0.00176316	0.003225859	0.002547428	0.001805311	0.001673204	0.001629203	0.001153566	0.000355704
107	14.29	4.18	4.23	2.7826	0.31391	2.1259	0.33574	0.007046	3.9776	3.9738	0.0037518	0.00048795	0.000562217	0.00080303	0.001526247	0.00199414	0.003819605	0.00360949	0.00269756	0.002482197	0.002436004	0.001902134	0.000590112
108	3.5	1.33	2.02	1.2359	0.10678	1.0152	0.10683	0.007046	1.2682	1.2644	0.0037518	0.000386003	0.000442212	0.000623955	0.001153733	0.001459874	0.002466458	0.001567218	0.001066988	0.001001221	0.000963599	0.00061314	0.000187821
109	9.03	2.22	3.25	2.0395	0.2208	1.6334	0.17831	0.007046	2.1143	2.1105	0.0037518	0.000367347	0.000421844	0.000598315	0.001123394	0.001452683	0.002671398	0.002176223	0.001557193	0.001443893	0.001407104	0.001005126	0.000311862
